step,dsc,dsc_smooth,mtv,mtv_smooth,tlg,tlg_smooth
0.000000,0.330664,0.307639,12.589031,9.933171,14.283416,10.973263
0.478000,0.294928,0.307060,11.088790,9.553878,12.015785,10.457838
0.956000,0.309711,0.307227,9.424640,8.853603,11.723468,9.727607
1.434000,0.302257,0.307360,8.891074,8.316731,8.745312,9.096312
1.912000,0.300635,0.307252,7.672322,8.127348,8.098332,8.657949
2.390000,0.304167,0.304791,7.657409,7.221540,7.880717,7.532528
2.868000,0.308229,0.306468,4.651957,6.579497,5.346221,6.710885
3.346000,0.308288,0.306309,4.558622,6.171769,4.677246,5.949923
3.824000,0.306388,0.305909,6.612286,5.780714,5.151043,5.429921
4.302000,0.308512,0.306078,4.436759,5.648646,4.154632,5.081093
4.780000,0.310022,0.306164,5.310407,5.315661,4.620996,4.697321
5.258000,0.308278,0.305396,5.755083,5.425475,4.874804,4.596872
5.736000,0.298663,0.304362,5.371582,5.752456,4.065293,4.759227
6.214000,0.302157,0.303861,6.483705,5.495044,4.958885,4.624682
6.692000,0.304937,0.302686,4.660545,5.602009,4.426773,4.690725
7.170000,0.301321,0.301027,5.640283,5.689401,4.442177,4.743416
7.648000,0.298979,0.299789,7.501453,5.693282,6.138444,4.851139
8.126000,0.301884,0.299909,4.295581,5.647467,3.940134,4.868854
8.604000,0.297936,0.299123,5.399437,5.599711,4.749016,4.916826
9.082000,0.295086,0.297956,6.096941,5.689211,5.095216,4.966539
9.560000,0.297139,0.297937,5.790009,5.575126,5.844318,4.949117
10.038000,0.299740,0.297821,4.959245,5.169125,4.224721,4.810496
10.516000,0.295081,0.297027,6.053905,5.310650,5.390639,4.923597
10.994000,0.294435,0.297185,5.466047,5.407315,4.874188,4.999526
11.472000,0.301152,0.297321,4.613515,5.438397,4.285375,5.044359
11.950000,0.297935,0.297049,3.847445,5.532594,4.890854,5.046114
12.428000,0.294737,0.296517,5.569308,5.633989,4.958044,5.141967
12.906000,0.299357,0.296598,6.269423,5.660741,5.432377,5.181025
13.384000,0.296314,0.297162,6.376675,5.614302,5.498712,5.118325
13.862000,0.294686,0.296863,6.637782,5.711652,5.860115,5.144534
14.340000,0.294956,0.296650,5.871803,5.820536,5.087403,5.123293
14.818000,0.295814,0.297751,6.294672,5.788673,5.742156,5.092348
15.296000,0.299509,0.298149,5.048097,5.612991,4.309887,4.996572
15.774000,0.298458,0.298357,5.489662,5.509889,4.521260,4.835376
16.252000,0.296017,0.298244,4.827406,5.402148,4.699681,4.693963
16.730000,0.304650,0.298704,5.282541,5.312365,4.679542,4.671302
17.208000,0.302939,0.298892,4.688278,5.262533,4.570393,4.613439
17.686000,0.298180,0.298661,5.448762,5.259403,4.047951,4.620314
18.164000,0.293675,0.298193,5.668111,5.260535,4.587397,4.607555
18.642000,0.299092,0.298132,5.063755,5.390803,4.883448,4.607626
19.120000,0.297507,0.296741,5.846187,5.369144,5.221394,4.630236
19.598000,0.297429,0.296416,5.019928,5.438482,4.371758,4.579422
20.076000,0.294249,0.295714,5.499851,5.427338,4.406426,4.564510
20.554000,0.295466,0.295678,5.999811,5.358610,4.700325,4.548234
21.032000,0.292130,0.295123,5.087612,5.443066,4.883027,4.514242
21.510000,0.300020,0.294776,5.312320,5.379759,4.113071,4.471107
21.988000,0.291854,0.294418,5.348472,5.402970,3.913746,4.444132
22.466000,0.293356,0.294543,5.049557,5.460100,4.440912,4.454011
22.944000,0.294093,0.294160,5.823854,5.603050,4.577518,4.548342
23.422000,0.294387,0.294260,5.276425,5.593913,4.833183,4.431520
23.900000,0.294208,0.293236,5.228825,5.537980,4.128984,4.499093
24.378000,0.295368,0.293210,6.014026,5.603059,4.495330,4.596564
24.856000,0.292025,0.293023,7.286357,5.730956,5.549310,4.599148
25.334000,0.293029,0.292846,5.005385,5.608158,3.831626,4.603681
25.812000,0.290805,0.293261,4.808918,5.520253,4.721225,4.639765
26.290000,0.291622,0.293115,5.934186,5.481791,4.790989,4.670490
26.768000,0.291672,0.292773,6.200633,5.517372,4.464169,4.736136
27.246000,0.292495,0.292859,4.718670,5.297150,4.618310,4.707222
27.724000,0.298120,0.292745,4.485281,5.224875,5.157940,4.908508
28.202000,0.292896,0.292558,4.882660,5.427944,4.405507,5.046181
28.680000,0.292293,0.292646,6.334263,5.578758,5.086142,5.172808
29.158000,0.292796,0.292694,5.304356,5.519299,5.289093,5.274259
29.636000,0.292008,0.292527,4.354908,5.551251,5.643196,5.260446
30.114000,0.289118,0.291937,6.636539,5.583450,5.960279,5.243764
30.592000,0.292412,0.292270,7.291508,5.672465,5.930640,5.264157
31.070000,0.292106,0.291866,5.665503,5.446381,5.377228,5.208639
31.548000,0.290993,0.292038,5.006243,5.437003,4.493992,5.037978
32.026000,0.292813,0.292155,4.775071,5.563608,5.007799,4.931121
32.504000,0.295895,0.292574,5.683797,5.431758,4.589045,4.796798
32.982000,0.288655,0.291834,4.299507,5.321894,4.586483,4.775543
33.460000,0.294338,0.291722,5.219953,5.264112,3.753140,4.725117
33.938000,0.293061,0.291616,5.494350,5.240777,4.681483,4.739033
34.416000,0.292896,0.290882,5.449892,5.316573,4.751376,4.689081
34.894000,0.285753,0.290099,6.302729,5.350602,5.739346,4.829055
35.372000,0.291096,0.289870,5.145472,5.543848,4.923386,4.909791
35.850000,0.290036,0.288893,4.796221,5.611927,4.619240,5.050491
36.328000,0.286207,0.288004,5.457234,5.751885,4.558228,5.095846
36.806000,0.288844,0.287385,5.990063,5.738869,5.848813,5.123227
37.284000,0.286594,0.287549,6.038716,5.776581,5.313107,5.161753
37.762000,0.285551,0.286770,5.832669,5.880888,5.019438,5.309065
38.240000,0.285056,0.286213,6.753968,5.997118,5.089681,5.380330
38.718000,0.287329,0.286437,5.332748,5.974651,4.997808,5.368136
39.196000,0.287226,0.285934,6.642139,5.836638,6.086079,5.181947
39.674000,0.284089,0.285596,6.084233,5.792835,6.249192,5.207465
40.152000,0.285024,0.285401,5.842290,5.649994,5.260627,5.257483
40.630000,0.288224,0.285250,5.255035,5.443476,4.448481,5.241224
41.108000,0.284315,0.284830,4.747942,5.480901,4.173114,5.260965
41.586000,0.283548,0.284144,5.644494,5.295700,5.542765,5.062348
42.064000,0.283800,0.283689,4.547100,5.214630,5.469601,4.843098
42.542000,0.283698,0.283418,4.895300,5.220913,4.943353,4.824519
43.020000,0.283546,0.282617,5.669575,5.183906,5.175469,4.928208
43.498000,0.281048,0.282508,4.975331,5.332408,4.298529,5.058172
43.976000,0.280000,0.281911,5.354603,5.356118,4.275942,5.053900
44.454000,0.282583,0.281651,5.898836,5.503704,5.093413,5.040730
44.932000,0.281017,0.281441,4.921972,5.609721,5.381681,5.012481
45.410000,0.283333,0.281808,6.084463,5.655547,5.342797,5.034436
45.888000,0.278176,0.281534,5.857885,5.858038,5.504312,5.240705
46.366000,0.281461,0.281833,5.875372,5.997273,5.351070,5.435491
46.844000,0.281807,0.281866,5.849455,5.945629,4.689112,5.439637
47.322000,0.286851,0.282182,6.082006,5.870841,5.373068,5.290481
47.800000,0.278578,0.281826,6.797753,5.899409,6.154949,5.360875
48.278000,0.282694,0.281679,6.607711,6.030986,6.029015,5.458559
