"global_step","rebellious-stork-38993360 - valid_lvl3/val_mtv_bias","rebellious-stork-38993360 - valid_lvl3/val_mtv_bias__MIN","rebellious-stork-38993360 - valid_lvl3/val_mtv_bias__MAX","rebellious-stork-38993360 - _step","rebellious-stork-38993360 - _step__MIN","rebellious-stork-38993360 - _step__MAX"
"0","0.12589031448348975","0.12589031448348975","0.12589031448348975","150758","150758","150758"
"478","0.11088790025753088","0.11088790025753088","0.11088790025753088","151358","151358","151358"
"956","0.09424639975604339","0.09424639975604339","0.09424639975604339","151959","151959","151959"
"1434","0.08891073648984997","0.08891073648984997","0.08891073648984997","152559","152559","152559"
"1912","0.07672321699404468","0.07672321699404468","0.07672321699404468","153160","153160","153160"
"2390","0.07657408999959724","0.07657408999959724","0.07657408999959724","153760","153760","153760"
"2868","0.046519570577985205","0.046519570577985205","0.046519570577985205","154361","154361","154361"
"3346","0.0455862163589933","0.0455862163589933","0.0455862163589933","154961","154961","154961"
"3824","0.06612286251038313","0.06612286251038313","0.06612286251038313","155562","155562","155562"
"4302","0.04436758542149805","0.04436758542149805","0.04436758542149805","156162","156162","156162"
"4780","0.05310407359726154","0.05310407359726154","0.05310407359726154","156763","156763","156763"
"5258","0.05755083332471072","0.05755083332471072","0.05755083332471072","157363","157363","157363"
"5736","0.053715823510757245","0.053715823510757245","0.053715823510757245","157964","157964","157964"
"6214","0.0648370524107192","0.0648370524107192","0.0648370524107192","158564","158564","158564"
"6692","0.04660544958180533","0.04660544958180533","0.04660544958180533","159165","159165","159165"
"7170","0.05640282681755101","0.05640282681755101","0.05640282681755101","159765","159765","159765"
"7648","0.07501452750502488","0.07501452750502488","0.07501452750502488","160366","160366","160366"
"8126","0.04295581230708661","0.04295581230708661","0.04295581230708661","160966","160966","160966"
"8604","0.053994370433382496","0.053994370433382496","0.053994370433382496","161567","161567","161567"
"9082","0.06096941125817979","0.06096941125817979","0.06096941125817979","162167","162167","162167"
"9560","0.05790009427791796","0.05790009427791796","0.05790009427791796","162768","162768","162768"
"10038","0.04959244908502278","0.04959244908502278","0.04959244908502278","163368","163368","163368"
"10516","0.060539046803919166","0.060539046803919166","0.060539046803919166","163969","163969","163969"
"10994","0.05466046888763324","0.05466046888763324","0.05466046888763324","164569","164569","164569"
"11472","0.0461351473767979","0.0461351473767979","0.0461351473767979","165170","165170","165170"
"11950","0.03847444923266243","0.03847444923266243","0.03847444923266243","165770","165770","165770"
"12428","0.05569308299798136","0.05569308299798136","0.05569308299798136","166371","166371","166371"
"12906","0.0626942288930504","0.0626942288930504","0.0626942288930504","166971","166971","166971"
"13384","0.06376674561164318","0.06376674561164318","0.06376674561164318","167572","167572","167572"
"13862","0.06637782460818879","0.06637782460818879","0.06637782460818879","168172","168172","168172"
"14340","0.05871802881413784","0.05871802881413784","0.05871802881413784","168773","168773","168773"
"14818","0.06294672421585673","0.06294672421585673","0.06294672421585673","169373","169373","169373"
"15296","0.05048097040838538","0.05048097040838538","0.05048097040838538","169974","169974","169974"
"15774","0.05489661817726954","0.05489661817726954","0.05489661817726954","170574","170574","170574"
"16252","0.048274059376965925","0.048274059376965925","0.048274059376965925","171175","171175","171175"
"16730","0.05282541247419058","0.05282541247419058","0.05282541247419058","171775","171775","171775"
"17208","0.046882781403091475","0.046882781403091475","0.046882781403091475","172376","172376","172376"
"17686","0.05448761969231642","0.05448761969231642","0.05448761969231642","172976","172976","172976"
"18164","0.05668110736848739","0.05668110736848739","0.05668110736848739","173577","173577","173577"
"18642","0.050637546222274885","0.050637546222274885","0.050637546222274885","174177","174177","174177"
"19120","0.0584618688101331","0.0584618688101331","0.0584618688101331","174778","174778","174778"
"19598","0.050199281045187935","0.050199281045187935","0.050199281045187935","175378","175378","175378"
"20076","0.054998508648937926","0.054998508648937926","0.054998508648937926","175979","175979","175979"
"20554","0.05999810563830229","0.05999810563830229","0.05999810563830229","176579","176579","176579"
