metric,best_model,compared_model,p_raw,p_holm,best_is_better,significant
dice,V5,V10,0.000209808349609375,0.0008392333984375,True,True
dice,V5,V15,0.5216732025146484,0.5216732025146484,False,False
dice,V5,V6,5.7220458984375e-06,3.4332275390625e-05,True,True
dice,V5,V4,1.9073486328125e-06,2.6702880859375e-05,True,True
dice,V5,V9,0.2305126190185547,0.4610252380371094,True,False
dice,V5,V2,1.9073486328125e-06,2.6702880859375e-05,True,True
dice,V5,V12,1.9073486328125e-06,2.6702880859375e-05,True,True
dice,V5,V11,1.9073486328125e-06,2.6702880859375e-05,True,True
dice,V5,V7,1.9073486328125e-06,2.6702880859375e-05,True,True
dice,V5,V1,0.000133514404296875,0.000667572021484375,True,True
dice,V5,V3,0.021484375,0.064453125,False,False
dice,V5,V13,1.9073486328125e-06,2.6702880859375e-05,True,True
dice,V5,V8,1.9073486328125e-06,2.6702880859375e-05,True,True
dice,V5,V14,1.9073486328125e-06,2.6702880859375e-05,True,True
hd95,V5,V10,0.0031528472900390625,0.01261138916015625,True,True
hd95,V5,V15,0.8694877624511719,0.8694877624511719,True,False
hd95,V5,V6,6.29425048828125e-05,0.0003147125244140625,True,True
hd95,V5,V4,1.9073486328125e-06,2.6702880859375e-05,True,True
hd95,V5,V9,0.04405403137207031,0.13216209411621094,True,False
hd95,V5,V2,1.9073486328125e-06,2.6702880859375e-05,True,True
hd95,V5,V12,1.9073486328125e-06,2.6702880859375e-05,True,True
hd95,V5,V11,1.9073486328125e-06,2.6702880859375e-05,True,True
hd95,V5,V7,1.9073486328125e-06,2.6702880859375e-05,True,True
hd95,V5,V1,3.62396240234375e-05,0.000217437744140625,True,True
hd95,V5,V3,0.16495704650878906,0.3299140930175781,False,False
hd95,V5,V13,1.9073486328125e-06,2.6702880859375e-05,True,True
hd95,V5,V8,1.9073486328125e-06,2.6702880859375e-05,True,True
hd95,V5,V14,1.9073486328125e-06,2.6702880859375e-05,True,True
mtv,V5,V10,0.3117942810058594,1.0,False,False
mtv,V5,V15,0.069580078125,0.556640625,False,False
mtv,V5,V6,0.8721180313900541,1.0,True,False
mtv,V5,V4,0.8721180313900541,1.0,True,False
mtv,V5,V9,0.8983173370361328,1.0,False,False
mtv,V5,V2,0.13272666931152344,0.9290866851806641,True,False
mtv,V5,V12,0.00365447998046875,0.03289031982421875,True,True
mtv,V5,V11,8.20159912109375e-05,0.00098419189453125,True,True
mtv,V5,V7,0.13649771056887278,0.9290866851806641,True,False
mtv,V5,V1,9.5367431640625e-06,0.0001239776611328125,True,True
mtv,V5,V3,1.9073486328125e-06,2.6702880859375e-05,True,True
mtv,V5,V13,0.0023250579833984375,0.023250579833984375,True,True
mtv,V5,V8,0.0001678466796875,0.0018463134765625,True,True
mtv,V5,V14,0.1893482208251953,0.9467411041259766,True,False
tlg,V5,V10,0.7561664581298828,1.0,False,False
tlg,V5,V15,0.058258056640625,0.34954833984375,True,False
tlg,V5,V6,0.8123550415039062,1.0,False,False
tlg,V5,V4,0.8694877624511719,1.0,False,False
tlg,V5,V9,0.15364646911621094,0.7682323455810547,True,False
tlg,V5,V2,0.7841262817382812,1.0,False,False
tlg,V5,V12,0.0003223419189453125,0.0029010772705078125,True,True
tlg,V5,V11,1.33514404296875e-05,0.0001735687255859375,True,True
tlg,V5,V7,0.0001049041748046875,0.001049041748046875,True,True
tlg,V5,V1,0.0004825592041015625,0.0038604736328125,True,True
tlg,V5,V3,9.5367431640625e-06,0.000133514404296875,True,True
tlg,V5,V13,0.0004825592041015625,0.0038604736328125,True,True
tlg,V5,V8,6.29425048828125e-05,0.0006923675537109375,True,True
tlg,V5,V14,2.6702880859375e-05,0.0003204345703125,True,True
ndv,V5,V10,1.9073486328125e-06,2.6702880859375e-05,True,True
ndv,V5,V15,2.6702880859375e-05,0.000133514404296875,True,True
ndv,V5,V6,0.0003223419189453125,0.0009670257568359375,False,False
ndv,V5,V4,1.9073486328125e-06,2.6702880859375e-05,False,False
ndv,V5,V9,3.814697265625e-06,2.6702880859375e-05,True,True
ndv,V5,V2,1.9073486328125e-06,2.6702880859375e-05,False,False
ndv,V5,V12,1.9073486328125e-06,2.6702880859375e-05,False,False
ndv,V5,V11,0.0007076263427734375,0.001415252685546875,True,True
ndv,V5,V7,1.9073486328125e-06,2.6702880859375e-05,False,False
ndv,V5,V1,2.6702880859375e-05,0.000133514404296875,True,True
ndv,V5,V3,1.9073486328125e-06,2.6702880859375e-05,False,False
ndv,V5,V13,0.0007076263427734375,0.001415252685546875,True,True
ndv,V5,V8,1.9073486328125e-06,2.6702880859375e-05,False,False
ndv,V5,V14,1.9073486328125e-06,2.6702880859375e-05,False,False
