metric,compared_baseline,p_raw,p_holm,ours_is_better,significant
dice,Initial,1.9073486328125e-06,7.62939453125e-06,True,True
dice,Affine,1.9073486328125e-06,7.62939453125e-06,True,True
dice,NiftyReg,1.9073486328125e-06,7.62939453125e-06,True,True
dice,ConvexAdam,1.9073486328125e-06,7.62939453125e-06,True,True
hd95,Initial,1.9073486328125e-06,7.62939453125e-06,True,True
hd95,Affine,1.9073486328125e-06,7.62939453125e-06,True,True
hd95,NiftyReg,2.6702880859375e-05,2.6702880859375e-05,True,True
hd95,ConvexAdam,1.9073486328125e-06,7.62939453125e-06,True,True
mtv,Affine,0.3299827575683594,0.42871856689453125,True,False
mtv,NiftyReg,0.1893482208251953,0.42871856689453125,True,False
mtv,ConvexAdam,0.14290618896484375,0.42871856689453125,True,False
tlg,Affine,0.1893482208251953,0.3786964416503906,True,False
tlg,NiftyReg,3.814697265625e-06,1.1444091796875e-05,True,True
tlg,ConvexAdam,0.36827659606933594,0.3786964416503906,True,False
ndv,NiftyReg,0.0007076263427734375,0.0007076263427734375,False,False
ndv,ConvexAdam,1.9073486328125e-06,3.814697265625e-06,False,False
