label_id,label_name,is_bone_label,n_baseline,mean_baseline,std_baseline,median_baseline,q25_baseline,q75_baseline,n_follow-up,mean_follow-up,std_follow-up,median_follow-up,q25_follow-up,q75_follow-up,n_patients_paired,median_delta,mean_delta,wilcoxon_stat,wilcoxon_p,mean_difference
26,vertebrae_S1,1,358,0.0439134,0.13397,0,0,0,202,0.0719567,0.171992,0,0,0.00353813,146,0,0.0284941,503,0.00393499,0.0280433
36,vertebrae_T8,1,358,0.0435247,0.119799,0,0,0,202,0.0661726,0.148872,0,0,0.0213136,146,0,0.0270095,505,0.000574045,0.0226479
106,rib_right_3,1,357,0.0254093,0.0803279,0,0,0,201,0.0480491,0.115562,0,0,0.0140647,145,0,0.0251386,261,9.70864e-05,0.0226398
27,vertebrae_L5,1,358,0.0450985,0.12457,0,0,0.00295601,202,0.0671952,0.147575,0,0,0.0272398,146,0,0.0124728,1023,0.00995066,0.0220967
78,hip_right,1,358,0.0352864,0.0957233,0,0,0.00873029,202,0.0572373,0.125381,0,0,0.0318365,146,0,0.0180019,988,2.01612e-05,0.021951
41,vertebrae_T3,1,357,0.0428039,0.125304,0,0,0,201,0.0642967,0.141154,0,0,0.037694,145,0,0.0194273,568,0.006698,0.0214928
34,vertebrae_T10,1,358,0.0404594,0.116582,0,0,0,202,0.0610239,0.140278,0,0,0.0170891,146,0,0.024577,498,0.00130767,0.0205645
37,vertebrae_T7,1,358,0.0469251,0.133687,0,0,0,202,0.0667659,0.147593,0,0,0.026886,146,0,0.0155966,677,0.00975013,0.0198407
108,rib_right_5,1,357,0.0358237,0.0958917,0,0,0,202,0.055405,0.11948,0,0,0.0384325,146,0,0.018966,557,0.00327001,0.0195813
44,vertebrae_C7,1,356,0.0322509,0.106267,0,0,0,200,0.0512357,0.13888,0,0,0,145,0,0.0154686,368,0.00928012,0.0189848
107,rib_right_4,1,357,0.0310413,0.0921583,0,0,0,201,0.0497533,0.130146,0,0,0,145,0,0.0193754,491,0.00477124,0.0187121
