label_id,label_name,n_images_with_label,mean_dice_tumour_label,mean_frac_label_covered_by_tumour,mean_frac_tumour_in_label,total_intersection_voxels,total_label_voxels,pooled_frac_label_covered_by_tumour,pooled_frac_tumour_in_label,is_bone_label
39,vertebrae_T5,558,0.006904,0.058512,0.004656,41671,714980,0.05828275,0.00919821,1
38,vertebrae_T6,558,0.007277,0.058365,0.004732,44025,766822,0.05741228,0.00971782,1
22,prostate,552,0.043182,0.055274,0.087803,39460,371935,0.10609381,0.00871017,0
37,vertebrae_T7,560,0.007563,0.054082,0.00646,44243,833109,0.0531059,0.00976594,1
26,vertebrae_S1,560,0.009985,0.054029,0.007759,70700,1267962,0.05575877,0.01560591,1
32,vertebrae_T12,560,0.011134,0.053993,0.009283,67647,1264380,0.05350211,0.01493201,1
40,vertebrae_T4,558,0.005816,0.053131,0.00393,34825,660394,0.05273367,0.00768707,1
28,vertebrae_L4,560,0.014608,0.053075,0.016291,97995,1795439,0.05457997,0.02163085,1
27,vertebrae_L5,560,0.016266,0.053069,0.016246,91429,1752920,0.05215811,0.02018151,1
42,vertebrae_T2,558,0.006182,0.052833,0.004854,33961,647376,0.05245947,0.00749635,1
35,vertebrae_T9,560,0.008003,0.051936,0.006897,50578,982530,0.05147731,0.01116429,1
36,vertebrae_T8,560,0.007,0.051694,0.005596,44237,902691,0.0490057,0.00976462,1
29,vertebrae_L3,560,0.01236,0.050853,0.011251,94766,1807786,0.05242103,0.0209181,1
41,vertebrae_T3,558,0.006042,0.050546,0.004458,30942,631683,0.04898343,0.00682996,1
33,vertebrae_T11,560,0.007867,0.050543,0.005762,58517,1163962,0.05027398,0.0129167,1
30,vertebrae_L2,560,0.011302,0.049625,0.014955,78406,1583522,0.04951368,0.01730688,1
34,vertebrae_T10,560,0.008049,0.047877,0.007335,50852,1095558,0.04641653,0.01122477,1
31,vertebrae_L1,560,0.009335,0.045802,0.007326,65404,1448017,0.04516798,0.0144369,1
25,sacrum,560,0.020706,0.045053,0.02761,207415,4541313,0.04567291,0.04578358,0
78,hip_right,560,0.033004,0.043204,0.070091,458045,10399650,0.04404427,0.10110619,1
108,rib_right_5,559,0.004912,0.0429,0.00412,26437,603462,0.04380889,0.00583555,1
109,rib_right_6,560,0.005166,0.042009,0.004802,29664,676375,0.04385733,0.00654786,1
94,rib_left_3,558,0.003842,0.040974,0.005843,18031,413473,0.04360865,0.00398006,1
43,vertebrae_T1,558,0.003042,0.039485,0.002024,25403,654647,0.03880412,0.00560731,1
116,sternum,560,0.008422,0.039295,0.006585,72093,1805008,0.03994054,0.01591339,1
96,rib_left_5,559,0.005019,0.039217,0.004864,22261,565446,0.03936892,0.00491376,1
44,vertebrae_C7,556,0.002934,0.03908,0.001853,20112,525406,0.03827897,0.00443941,1
77,hip_left,560,0.02787,0.038728,0.054938,411436,10443751,0.03939542,0.09081799,1
97,rib_left_6,560,0.004617,0.037904,0.01066,24551,636748,0.03855685,0.00541924,1
107,rib_right_4,558,0.003462,0.037782,0.00355,20322,509866,0.03985753,0.00448576,1
95,rib_left_4,558,0.002997,0.037575,0.005165,18897,495145,0.03816458,0.00417121,1
98,rib_left_7,560,0.004073,0.036845,0.003246,26030,696528,0.03737107,0.00574571,1
93,rib_left_2,558,0.002908,0.035242,0.002647,13150,354150,0.03713116,0.00290265,1
106,rib_right_3,558,0.002255,0.033565,0.003196,14550,409487,0.03553226,0.00321168,1
110,rib_right_7,560,0.00338,0.032511,0.002458,23996,699141,0.03432212,0.00529674,1
105,rib_right_2,558,0.002128,0.031163,0.002278,11299,357786,0.03158033,0.00249408,1
99,rib_left_8,560,0.003773,0.030933,0.004118,18505,591079,0.03130715,0.00408469,1
45,vertebrae_C6,556,0.002263,0.030807,0.001507,12596,420612,0.02994684,0.00278037,1
46,vertebrae_C5,556,0.002099,0.029419,0.003157,10811,378068,0.02859538,0.00238636,1
47,vertebrae_C4,556,0.001609,0.027476,0.001052,8890,342752,0.02593712,0.00196233,1
48,vertebrae_C3,556,0.001346,0.02517,0.000811,8496,346604,0.02451212,0.00187536,1
100,rib_left_9,560,0.002004,0.023864,0.001631,13375,541136,0.02471652,0.00295232,1
111,rib_right_8,560,0.002628,0.02384,0.002506,14765,606077,0.02436159,0.00325914,1
49,vertebrae_C2,556,0.001572,0.023815,0.000979,10659,469323,0.02271144,0.00235281,1
72,scapula_right,559,0.006999,0.02302,0.006315,71972,3212230,0.02240562,0.01588668,1
